story_number,general_question,analysts,intersection,union,total_union,total_intersection
4,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.4', 'V5.2.1', 'V5.2.2', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.3, V5.1.4, V5.2.1, V5.2.2, V5.2.6",6,1
5,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1'],V4.3.1,V4.3.1,1,1
5,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V3.7.1']; marcelo: ['V3.7.1', 'V8.3.4']; tulio: ['V3.7.1']",V3.7.1,"V3.7.1, V8.3.4",2,1
5,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4', 'V5.1.5', 'V5.2.1', 'V5.2.2', 'V5.2.6']; marcelo: ['V5.1.3', 'V5.1.4']; tulio: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.4, V5.1.5, V5.2.1, V5.2.2, V5.2.6",6,1
5,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']",,"V5.3.1, V5.3.3",2,0
5,Does the user story involve some token?,daniel: ['V3.3.2'],,V3.3.2,1,0
5,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.1.1', 'V2.1.8', 'V2.5.6']",,"V2.1.1, V2.1.8, V2.5.6",3,0
6,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.2', 'V3.2.3', 'V3.3.1', 'V3.3.2']; marcelo: ['V3.3.2']",V3.3.2,"V3.1.1, V3.2.2, V3.2.3, V3.3.1, V3.3.2",5,1
6,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']",,"V5.3.1, V5.3.3",2,0
6,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.4']",,"V5.1.1, V5.1.3, V5.1.4",3,0
6,"Does the user story implementation involve any sensitive transactions, data, or API?",marcelo: ['V3.7.1'],,V3.7.1,1,0
7,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.2', 'V3.2.3', 'V3.3.1', 'V3.3.2', 'V3.4.1', 'V3.4.2']",,"V3.1.1, V3.2.2, V3.2.3, V3.3.1, V3.3.2, V3.4.1, V3.4.2",7,0
7,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.3, V5.3.4",3,1
7,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; marcelo: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
7,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.4']",,"V5.1.1, V5.1.3, V5.1.4",3,0
7,Does the user story implementation involve any data storage in the log?,daniel: ['V7.1.2'],,V7.1.2,1,0
7,"Does the user story implementation involve any sensitive transactions, data, or API?",daniel: ['V3.7.1']; tulio: ['V3.7.1'],V3.7.1,V3.7.1,1,1
8,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.2', 'V3.2.3', 'V3.3.1', 'V3.3.2', 'V3.4.1', 'V3.4.2', 'V3.4.3', 'V3.4.4']",,"V3.1.1, V3.2.2, V3.2.3, V3.3.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3, V3.4.4",9,0
8,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.1', 'V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.4']",,"V13.1.1, V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.4",6,0
8,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
8,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.4']; marcelo: ['V5.1.3', 'V5.1.4']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.3, V5.1.4",3,1
9,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
9,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1'],,V4.3.1,1,0
9,Does the user story implementation involve some data serialization or deserialization?,daniel: ['V5.5.1'],,V5.5.1,1,0
9,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.5']",,"V5.3.1, V5.3.2, V5.3.3, V5.3.5",4,0
9,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.4', 'V5.2.2']; marcelo: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.3, V5.1.4, V5.2.2",4,1
10,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
10,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']",V5.3.1,"V5.3.1, V5.3.2, V5.3.3, V5.3.5",4,1
10,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1'],V4.3.1,V4.3.1,1,1
10,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4']",,"V5.1.3, V5.1.4",2,0
10,"Does the user story implementation involve any sensitive transactions, data, or API?",daniel: ['V3.7.1']; tulio: ['V3.7.1'],V3.7.1,V3.7.1,1,1
11,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']",,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,0
11,"Does the user story implementation involve any sensitive transactions, data, or API?",daniel: ['V3.7.1']; tulio: ['V3.7.1'],V3.7.1,V3.7.1,1,1
11,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
11,Does the user story implementation involve some administrative interface?,tulio: ['V4.3.1'],,V4.3.1,1,0
11,Does the user story implementation involve some data serialization or deserialization?,daniel: ['V5.5.1'],,V5.5.1,1,0
11,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4']; marcelo: ['V5.1.3', 'V5.1.4']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.4",2,1
11,Does the user story involve some token?,"daniel: ['V3.2.3', 'V3.3.1']",,"V3.2.3, V3.3.1",2,0
12,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.3', 'V3.4.1', 'V3.4.2', 'V3.4.3', 'V3.4.4']",,"V3.1.1, V3.2.3, V3.4.1, V3.4.2, V3.4.3, V3.4.4",6,0
12,"Does the user story implementation involve any sensitive transactions, data, or API?",tulio: ['V3.7.1'],,V3.7.1,1,0
12,Does the user story implementation involve some administrative interface?,tulio: ['V4.3.1'],,V4.3.1,1,0
12,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.1.1', 'V2.1.10', 'V2.1.11', 'V2.1.12', 'V2.1.2', 'V2.1.3', 'V2.1.4', 'V2.1.5', 'V2.1.6', 'V2.1.7', 'V2.1.8', 'V2.1.9', 'V2.5.1', 'V2.5.2', 'V2.5.3', 'V2.5.6']",,"V2.1.1, V2.1.10, V2.1.11, V2.1.12, V2.1.2, V2.1.3, V2.1.4, V2.1.5, V2.1.6, V2.1.7, V2.1.8, V2.1.9, V2.5.1, V2.5.2, V2.5.3, V2.5.6",16,0
12,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.4",2,1
12,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
13,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.1', 'V13.1.3', 'V13.2.1', 'V13.2.2', 'V13.2.3', 'V13.3.1', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.2', 'V8.3.3', 'V8.3.4']; marcelo: ['V4.2.1', 'V8.3.4']; tulio: ['V3.7.1']; victor: ['V8.3.4']",,"V13.1.1, V13.1.3, V13.2.1, V13.2.2, V13.2.3, V13.3.1, V3.7.1, V4.2.1, V8.3.1, V8.3.2, V8.3.3, V8.3.4",12,0
13,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.2', 'V5.5.4']",,"V5.5.2, V5.5.4",2,0
13,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.5']",,"V5.1.1, V5.1.2, V5.1.3, V5.1.5",4,0
13,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3', 'V3.4.4']",,"V3.4.1, V3.4.2, V3.4.3, V3.4.4",4,0
13,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
13,Does the user story involve the implementation/change of some system authentication?,daniel: ['V2.3.1'],,V2.3.1,1,0
13,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1'],V4.3.1,V4.3.1,1,1
14,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; marcelo: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
14,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
14,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.4', 'V5.1.5']; marcelo: ['V5.1.3', 'V5.1.4']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.2, V5.1.3, V5.1.4, V5.1.5",5,1
14,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3', 'V3.4.4']",,"V3.4.1, V3.4.2, V3.4.3, V3.4.4",4,0
14,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V3.7.1']; marcelo: ['V3.7.1', 'V4.2.1', 'V8.3.4']; tulio: ['V3.7.1']",V3.7.1,"V3.7.1, V4.2.1, V8.3.4",3,1
14,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.2', 'V2.2.3', 'V2.3.1', 'V2.5.5', 'V3.2.1', 'V8.2.3']",,"V2.2.2, V2.2.3, V2.3.1, V2.5.5, V3.2.1, V8.2.3",6,0
14,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
15,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
15,"Does the user story implementation involve any sensitive transactions, data, or API?","victor: ['V8.3.1', 'V8.3.4']",,"V8.3.1, V8.3.4",2,0
15,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.4', 'V5.1.5', 'V5.2.1', 'V5.2.2', 'V5.2.3', 'V5.2.4', 'V5.2.5', 'V5.2.6', 'V5.2.7', 'V5.2.8']",,"V5.1.1, V5.1.2, V5.1.3, V5.1.4, V5.1.5, V5.2.1, V5.2.2, V5.2.3, V5.2.4, V5.2.5, V5.2.6, V5.2.7, V5.2.8",13,0
16,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
16,"Does the user story implementation involve any sensitive transactions, data, or API?",victor: ['V8.3.4'],,V8.3.4,1,0
16,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4']",,"V5.1.3, V5.1.4",2,0
17,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.1.1', 'V12.3.1', 'V12.3.2', 'V12.3.3', 'V12.3.4', 'V12.3.5', 'V12.4.1', 'V12.4.2', 'V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.4', 'V5.1.5', 'V5.2.1', 'V5.2.2', 'V5.2.3', 'V5.2.4', 'V5.2.5', 'V5.2.6', 'V5.2.7', 'V5.2.8']",,"V12.1.1, V12.3.1, V12.3.2, V12.3.3, V12.3.4, V12.3.5, V12.4.1, V12.4.2, V5.1.1, V5.1.2, V5.1.3, V5.1.4, V5.1.5, V5.2.1, V5.2.2, V5.2.3, V5.2.4, V5.2.5, V5.2.6, V5.2.7, V5.2.8",21,0
17,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
17,"Does the user story implementation involve any sensitive transactions, data, or API?",victor: ['V8.3.4'],,V8.3.4,1,0
17,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
18,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
19,Does the user story implementation involve input from the client or the environment?,marcelo: ['V5.1.5'],,V5.1.5,1,0
19,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
20,Does the user story implementation involve some administrative interface?,tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
20,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
20,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.1', 'V5.5.2']",,"V5.5.1, V5.5.2",2,0
20,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.1.1', 'V2.1.3', 'V2.1.5', 'V2.1.6', 'V2.1.8', 'V2.2.1', 'V2.2.2', 'V2.2.3', 'V2.3.1', 'V2.5.5', 'V3.2.1', 'V8.2.3']",,"V2.1.1, V2.1.3, V2.1.5, V2.1.6, V2.1.8, V2.2.1, V2.2.2, V2.2.3, V2.3.1, V2.5.5, V3.2.1, V8.2.3",12,0
20,Does the user story involve some token?,"daniel: ['V3.2.2', 'V3.2.3', 'V3.4.1', 'V3.4.2', 'V3.4.3', 'V3.4.4']",,"V3.2.2, V3.2.3, V3.4.1, V3.4.2, V3.4.3, V3.4.4",6,0
20,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V13.2.1', 'V13.2.2', 'V13.2.3', 'V13.3.1', 'V3.7.1']; marcelo: ['V8.3.4']; tulio: ['V3.7.1', 'V8.3.1']; victor: ['V13.1.3', 'V3.7.1', 'V8.3.4']",,"V13.1.3, V13.2.1, V13.2.2, V13.2.3, V13.3.1, V3.7.1, V8.3.1, V8.3.4",8,0
20,Does the user story implementation involve input from the client or the environment?,daniel: ['V5.1.3']; tulio: ['V5.1.3']; victor: ['V5.1.3'],V5.1.3,V5.1.3,1,1
20,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
21,Does the user story implementation involve some administrative interface?,tulio: ['V4.3.1'],,V4.3.1,1,0
21,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
21,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.1', 'V5.5.2', 'V5.5.3', 'V5.5.4']",,"V5.5.1, V5.5.2, V5.5.3, V5.5.4",4,0
21,Does the user story involve the implementation/change of some system authentication?,daniel: ['V2.1.1'],,V2.1.1,1,0
21,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.2', 'V3.2.3', 'V3.3.1', 'V3.3.2', 'V3.4.5']",,"V3.1.1, V3.2.2, V3.2.3, V3.3.1, V3.3.2, V3.4.5",6,0
21,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.1', 'V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.2', 'V8.3.3', 'V8.3.4']; marcelo: ['V8.3.4']; tulio: ['V3.7.1', 'V8.3.1']",,"V13.1.1, V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.2, V8.3.3, V8.3.4",8,0
21,Does the user story implementation involve input from the client or the environment?,daniel: ['V5.1.3']; tulio: ['V5.1.3'],V5.1.3,V5.1.3,1,1
21,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; victor: ['V5.3.2', 'V5.3.4']","V5.3.2, V5.3.4","V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,2
22,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; tulio: ['V5.3.3']; victor: ['V5.3.2', 'V5.3.4']",,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,0
22,"Does the user story implementation involve any sensitive transactions, data, or API?",daniel: ['V13.1.3']; marcelo: ['V8.3.4'],,"V13.1.3, V8.3.4",2,0
22,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.4', 'V5.1.5', 'V5.2.1', 'V5.2.2', 'V5.2.3', 'V5.2.4', 'V5.2.5', 'V5.2.6', 'V5.2.7', 'V5.2.8']",,"V5.1.1, V5.1.2, V5.1.3, V5.1.4, V5.1.5, V5.2.1, V5.2.2, V5.2.3, V5.2.4, V5.2.5, V5.2.6, V5.2.7, V5.2.8",13,0
23,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.2', 'V5.3.4']",,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,0
23,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.1', 'V5.5.2', 'V5.5.3', 'V5.5.4']",,"V5.5.1, V5.5.2, V5.5.3, V5.5.4",4,0
23,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V3.7.1']; marcelo: ['V8.3.4']; tulio: ['V3.7.1', 'V8.3.1']",,"V3.7.1, V8.3.1, V8.3.4",3,0
23,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.1.1', 'V2.1.10', 'V2.1.11', 'V2.1.12', 'V2.1.2', 'V2.1.3', 'V2.1.4', 'V2.1.5', 'V2.1.6', 'V2.1.7', 'V2.1.8', 'V2.1.9', 'V2.2.1', 'V2.2.2', 'V2.2.3']",,"V2.1.1, V2.1.10, V2.1.11, V2.1.12, V2.1.2, V2.1.3, V2.1.4, V2.1.5, V2.1.6, V2.1.7, V2.1.8, V2.1.9, V2.2.1, V2.2.2, V2.2.3",15,0
23,Does the user story involve some token?,"daniel: ['V3.2.2', 'V3.2.3']",,"V3.2.2, V3.2.3",2,0
23,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.4', 'V5.1.5']; marcelo: ['V5.1.3']; tulio: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.2, V5.1.3, V5.1.4, V5.1.5",5,1
23,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
24,"Does the user story implementation involve any sensitive transactions, data, or API?",tulio: ['V3.7.1'],,V3.7.1,1,0
24,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.2, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,3
24,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
24,Does the user story involve some token?,"daniel: ['V3.2.2', 'V3.2.3']; tulio: ['V3.3.2']",,"V3.2.2, V3.2.3, V3.3.2",3,0
24,Does the user story involve the implementation/change of some system authentication?,daniel: ['V2.1.1'],,V2.1.1,1,0
24,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.2', 'V5.1.3', 'V5.1.4', 'V5.1.5', 'V5.2.1', 'V5.2.2', 'V5.2.3', 'V5.2.4', 'V5.2.5', 'V5.2.6', 'V5.2.7', 'V5.2.8']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.2, V5.1.3, V5.1.4, V5.1.5, V5.2.1, V5.2.2, V5.2.3, V5.2.4, V5.2.5, V5.2.6, V5.2.7, V5.2.8",13,1
24,Does the user story implementation involve some data serialization or deserialization?,daniel: ['V5.5.1'],,V5.5.1,1,0
24,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
25,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
25,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.3', 'V5.5.4']",,"V5.5.3, V5.5.4",2,0
25,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
25,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.3', 'V3.3.1', 'V3.4.1', 'V3.4.3', 'V3.4.4']",,"V3.1.1, V3.2.3, V3.3.1, V3.4.1, V3.4.3, V3.4.4",6,0
25,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']",,"V13.1.3, V4.2.1, V8.3.1",3,0
25,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.5', 'V5.2.6']",,"V5.1.1, V5.1.3, V5.1.5, V5.2.6",4,0
26,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.3', 'V5.5.4']",,"V5.5.3, V5.5.4",2,0
26,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
