story_number,story_id,analysts_count,total_unique_requirements,common_requirements,agreement_ratio,what,who,why
46,373,4,18,0,0.0,I want to use a WYSIWYG editor for all long-form Content,AuthenticatedUser,so that I don't have to know HTML to update my Content.
47,374,4,12,1,0.08333333333333333,I want to Link to my sponsorship profile from my job listings,Sponsor,so that recruits can learn more about my organization.
48,375,4,13,0,0.0,I want to learn about posting jobs as a sponsor and contact the sponsorship person,AnonymousUser,so that I have the opportunty to post my job listing on the BADCamp Site.
49,376,4,23,1,0.043478260869565216,I want to post a job,As a Sponsor,so that I can hire top-tier Drupal talent.
5,117,3,15,1,0.06666666666666667,to edit my training node myself,Trainer,the training coordinators don't have to and links to slides.
50,377,4,17,1,0.058823529411764705,I want to view the job board,AuthenticatedUser,so that I can look for an interesting Drupal gig
51,378,4,21,0,0.0,I want to assign a room to a time slot and a location,As a Administrator,so that I can populate the schedule .
52,379,4,10,1,0.1,I want to see the schedule,AnonymousUser,so that I can plan my day and figure out where to go.
53,380,4,10,1,0.1,I want to see the final list of sessions approved,AnonymousUser,so that I can see what's going on at BADCamp .
54,381,4,21,0,0.0,I want to bulk approve sessions as accepted,Administrator,so that I can save time.
55,382,4,20,0,0.0,I want to mark a session as accepted,Administrator,so that I can populate the schedule .
56,383,4,13,1,0.07692307692307693,I want to receive a notification when sessions have been evaluated,AnonymousUser,so that I know whether I've been accepted or rejected.
57,384,4,13,1,0.07692307692307693,I want to receive a notification when I submit a session,AnonymousUser,so that know that my session went through ok.
58,385,4,22,0,0.0,I want to edit my session,AuthenticatedUser,so that if I make a mistake
59,386,4,30,1,0.03333333333333333,I want to register to speak at BADCamp,AnonymousUser,so that I submit a session.
6,120,3,11,0,0.0,to limit to one registration per day per authenticated User,Trainee,we don't have duplicate spaces.
60,387,4,21,0,0.0,I want to submit a session at BADCAMP,AuthenticatedUser,so that I can get my session evaluated.
61,388,4,24,0,0.0,I want to personalize my sponsorship page,Sponsor,so that I can promote my brand.
62,389,4,10,1,0.1,I want to see a list of all the summits that include when they are,AnonymousUser,so that I can determine which summit I want to attend.
63,390,4,18,1,0.05555555555555555,I want to Be offered several choices of idividual sponsorship on the second page of registration,AuthenticatedUser,so that I can be awesome and financially support the Camp.
64,391,4,8,0,0.0,I want to easily find a link in the menu that links to the registration form,AnonymousUser,so that I can easily register for the Camp.
65,392,4,29,1,0.034482758620689655,I want to fill out a User registration form,AnonymousUser,so that I can register for the Camp and get an account on the WebSite.
66,393,4,10,1,0.1,I want to find session information,AnonymousUser,so that I can go to a session.
7,123,3,16,1,0.0625,to have an admin view that helps track registration status for each attendee so that,Training Coordinator,we can see if attendend
8,125,3,21,1,0.047619047619047616,to be added to a training waitlist,Attendee,so they can be considered for a class.
9,129,3,12,1,0.08333333333333333,to must accept the cancellation terms with a checkbox,Trainee,they can be accountable.
